tweet_id,retweet_count,favorite_count
892420643555336193,7744,36393
892177421306343426,5733,31340
891815181378084864,3794,23615
891689557279858688,7907,39689
891327558926688256,8530,37890
891087950875897856,2850,19075
890971913173991426,1862,11115
890729181411237888,17277,61322
890609185150312448,3935,26272
890240255349198849,6737,30013
890006608113172480,6725,28897
889880896479866881,4572,26258
889665388333682689,9169,45260
889638837579907072,4119,25478
889531135344209921,2066,14245
889278841981685760,4888,23723
888917238123831296,4130,27434
888804989199671297,3891,24090
888554962724278272,3192,18614
888078434458587136,3170,20496
887705289381826560,4933,28473
887517139158093824,10786,43695
887473957103951883,16514,64812
887343217045368832,9593,31690
887101392804085760,5459,28844
886983233522544640,7037,32933
886736880519319552,2947,11300
886680336477933568,4091,21167
886366144734445568,2903,19928
886267009285017600,4,113
886258384151887873,5786,26371
886054160059072513,100,0
885984800019947520,6163,30676
885528943205470208,5855,33864
885518971528720385,3420,19297
885311592912609280,16987,0
885167619883638784,4009,20630
884925521741709313,16602,72730
884876753390489601,5125,26239
884562892145688576,4306,22895
884441805382717440,5217,25515
884247878851493888,18656,68477
884162670584377345,2745,19223
883838122936631299,3152,20588
883482846933004288,9057,43183
883360690899218434,3398,21374
883117836046086144,6089,34952
882992080364220416,3569,22515
882762694511734784,4482,26642
882627270321602560,5574,26371
882268110199369728,10619,42248
882045870035918850,4489,27634
881906580714921986,3115,22929
881666595344535552,9797,47731
881633300179243008,7,120
881536004380872706,14653,46596
881268444196462592,4826,21891
880935762899988482,2557,16093
880872448815771648,3514,20058
880465832366813184,5719,26852
880221127280381952,3819,25435
880095782870896641,3986,26036
879862464715927552,3212,21085
879674319642796034,10,297
879492040517615616,2925,22131
879415818425184262,40797,99718
879376492567855104,2869,15853
879130579576475649,6246,0
879050749262655488,4303,21250
879008229531029506,2469,17907
878776093423087618,3755,18267
878604707211726852,6539,28430
878404777348136964,1184,0
878316110768087041,6123,0
878281511006478336,1184,7294
878057613040115712,6246,39712
877736472329191424,17433,74874
877611172832227328,72,0
877556246731214848,3500,21435
877316821321428993,4777,25862
877201837425926144,5136,25589
876838120628539392,3066,19524
876537666061221889,4314,22327
876484053909872640,2185,17731
876120275196170240,4301,26442
875747767867523072,3937,23792
875144289856114688,4524,20700
875097192612077568,5600,25932
875021211251597312,4353,24088
874680097055178752,4273,26295
874434818259525634,13411,0
874296783580663808,3787,24632
874057562936811520,3669,21484
874012996292530176,9481,32470
873580283840344065,3628,22920
873337748698140672,1472,0
873213775632977920,1472,6793
872967104147763200,5018,25853
872820683541237760,3442,13975
872620804844003328,3378,19646
872486979161796608,8367,38630
872122724285648897,7502,32548
871879754684805121,10218,35697
871762521631449091,3237,19199
871515927908634625,3229,19143
871166179821445120,5303,0
871102520638267392,5123,19872
871032628920680449,3557,21600
870804317367881728,5753,31978
870726314365509632,3,117
870656317836468226,2458,11759
870374049280663552,24639,78866
870308999962521604,3866,20836
870063196459192321,7754,34770
869772420881756160,9425,40485
869702957897576449,5885,26912
869596645499047938,2919,15225
869227993411051520,3534,19458
868880397819494401,13488,62411
868639477480148993,1939,0
868622495443632128,4960,25463
868552278524837888,1939,9617
867900495410671616,3916,23113
867774946302451713,6891,32449
